auction,name,artist,year,material,dimention,es_price,fin_price,cover
羅芙奧台北2022秋季拍賣會,在兩手中 ;遭遇; 細胞(三件一組),塩田千春,2019,版畫 20/40 ; 6/40 ; 5/40,30 x 40cm  (每件),120000-320000,432000,https://ravenel.com//resource/cover/ArtworkCover/31fc8a6b-d1c7-487f-a9f2-c2e98ce66ff1
羅芙奧台北2022秋季拍賣會,"遊戲場邊界 No.1；遊戲場邊界 No.2；
自由火焰 No.1；燒焦 (四件一組)",亞歷克斯．費斯,2020; 2021;2022,絲網版畫 13/50，13/50； 微噴版畫 17/100，53/100,55.5 x 90 cm (遊戲場邊界 No.1；No.2); 51 x 64 cm (自由火焰；燒焦),110000-220000,240000,https://ravenel.com//resource/cover/ArtworkCover/4e774c96-c50c-4fde-a37e-2b2a852e07cd
羅芙奧台北2022秋季拍賣會,"絢爛馬戲團:由衷擁抱和平與黑暗;信號
(兩件一組)",村上隆,2013;2015,版畫 170/300 ; 143/300,68 x 52 cm (每件),110000-220000,108000,https://ravenel.com//resource/cover/ArtworkCover/c13e9571-3e99-4ed5-8039-334db440242e
羅芙奧台北2022秋季拍賣會,睡眠者,艾迪．馬丁內斯,2020,版畫 13/30,76.2 × 101.6 cm,240000-340000,0,https://ravenel.com//resource/cover/ArtworkCover/06d42ca9-f468-442c-847e-d31823e42ff8
羅芙奧台北2022秋季拍賣會,無人的家,KAWS〈布萊恩．唐納利〉,2015,絲網版畫 56/250,91.5 x 74 cm,550000-750000,576000,https://ravenel.com//resource/cover/ArtworkCover/8eca6cd2-48f2-4840-805c-99ebd1689b61
羅芙奧台北2022秋季拍賣會,花綻放在我心,草間彌生,2011,版畫 限量 30 PP 3/5,58.5 x 56.5 cm,600000-800000,780000,https://ravenel.com//resource/cover/ArtworkCover/5060ab6f-d904-4e29-9bbd-6004c30bdd91
羅芙奧台北2022秋季拍賣會,甜美女孩,奈良美智,2009,木刻 版畫 42/50,46 x 46 cm,650000-1200000,720000,https://ravenel.com//resource/cover/ArtworkCover/7f5483e6-5234-465f-a4cb-1e75eb45aa3e
羅芙奧台北2022秋季拍賣會,南瓜 TWOTEOL,草間彌生,2012,版畫 限量30  PP 4/5,61.3 x 66.8 cm,850000-1400000,1020000,https://ravenel.com//resource/cover/ArtworkCover/15ee3832-348e-42b8-bb6b-0d7005f0d791
羅芙奧台北2022秋季拍賣會,墨之風暴 (九件一組),朱德群,2008,石版畫 21/99,41 x 30.5 cm；41 x 30 cm；41 x 29 cm；41 x 29.5 cm；40 x 60 cm；40.5 x 29 cm；44.8 x 69.9 cm；45 x 35 cm；45 x 34.8 cm,260000-360000,312000,https://ravenel.com//resource/cover/ArtworkCover/1bf25f08-5ed5-4143-a08a-4008df924642
羅芙奧台北2022秋季拍賣會,無限的網,草間彌生,1953-1984,蝕刻版畫 28/30,45.5 x 63 cm,220000-320000,288000,https://ravenel.com//resource/cover/ArtworkCover/7415e1ac-00eb-4eff-bf0e-d154c4c30cea
